Fecha;PM2.5(µg/m³);SO2(µg/m³);NO(µg/m³);NO2(µg/m³);PM10(µg/m³);NOx(µg/m³);Ozono(µg/m³)
01/01/2014;1;0;4;13;1;19;55
02/01/2014;2;0;6;25;2;34;46
03/01/2014;2;1;11;39;3;55;33
04/01/2014;1;;2;11;4;15;57
05/01/2014;2;;0;4;2;4;60
06/01/2014;2;1;13;25;2;44;44
07/01/2014;8;3;52;66;12;145;23
08/01/2014;12;4;68;56;16;161;28
09/01/2014;27;3;24;50;30;87;18
10/01/2014;29;2;9;56;32;71;13
11/01/2014;20;1;19;59;22;87;13
12/01/2014;18;1;20;39;19;69;22
13/01/2014;8;0;7;46;9;57;25
14/01/2014;2;1;5;32;3;40;41
15/01/2014;3;3;15;31;5;54;30
16/01/2014;4;;21;37;5;70;28
17/01/2014;4;;5;31;6;38;35
18/01/2014;5;;5;35;6;43;28
19/01/2014;2;;1;16;2;18;48
20/01/2014;1;;2;17;3;20;52
21/01/2014;3;;2;27;4;29;40
22/01/2014;6;;24;45;7;81;23
23/01/2014;4;;23;55;6;91;27
24/01/2014;3;;2;30;5;33;46
25/01/2014;1;;3;13;2;17;51
26/01/2014;1;;2;15;2;18;45
27/01/2014;2;;1;10;4;12;56
28/01/2014;2;;1;11;4;12;57
29/01/2014;2;;1;18;3;20;57
30/01/2014;2;;4;21;4;28;48
31/01/2014;5;;3;30;10;34;36
01/02/2014;4;;2;10;7;13;44
02/02/2014;2;;0;7;4;7;56
03/02/2014;5;;3;24;10;29;38
04/02/2014;6;;9;35;11;49;45
05/02/2014;6;;6;29;15;39;51
06/02/2014;10;;7;33;15;43;43
07/02/2014;3;;0;9;9;10;57
08/02/2014;4;;0;3;10;4;62
09/02/2014;5;;0;5;7;5;60
10/02/2014;2;;1;13;3;14;60
11/02/2014;3;;3;26;5;31;49
12/02/2014;4;;;;6;;39
13/02/2014;2;;;;4;;38
14/02/2014;3;;7;25;5;36;36
15/02/2014;8;;10;33;12;48;35
16/02/2014;6;;0;14;8;14;37
17/02/2014;9;;6;18;10;27;34
18/02/2014;17;;24;51;27;88;23
19/02/2014;14;;19;53;34;82;26
20/02/2014;7;;6;31;15;41;35
21/02/2014;5;;2;18;8;21;45
22/02/2014;4;;1;11;8;12;55
23/02/2014;7;;2;13;10;17;52
24/02/2014;11;;2;20;16;24;58
25/02/2014;7;;4;25;14;31;47
26/02/2014;7;;3;29;12;33;51
27/02/2014;6;;9;50;11;64;30
28/02/2014;6;;2;22;18;25;51
01/03/2014;5;0;5;33;8;41;39
02/03/2014;6;0;4;22;8;28;38
03/03/2014;2;0;1;8;11;9;67
04/03/2014;3;1;1;16;6;18;58
05/03/2014;5;3;5;27;9;34;44
06/03/2014;11;5;13;34;16;54;42
07/03/2014;15;5;5;44;23;52;49
08/03/2014;18;4;4;39;25;46;60
09/03/2014;23;1;2;33;28;36;64
10/03/2014;15;4;14;55;30;76;42
11/03/2014;16;5;18;47;26;74;53
12/03/2014;26;0;1;29;31;31;58
13/03/2014;18;0;4;31;22;37;57
14/03/2014;23;3;22;62;32;97;37
15/03/2014;30;8;10;63;41;79;50
16/03/2014;23;7;6;57;35;66;45
17/03/2014;18;17;16;50;27;73;50
18/03/2014;28;4;22;42;37;75;52
19/03/2014;32;3;6;38;39;46;50
20/03/2014;30;4;23;41;42;77;47
21/03/2014;29;2;9;46;36;60;43
22/03/2014;17;0;2;27;25;30;40
23/03/2014;3;0;0;14;6;15;62
24/03/2014;4;3;;;9;;55
25/03/2014;4;1;;;10;;73
26/03/2014;2;0;1;14;6;15;70
27/03/2014;6;3;3;24;14;28;69
28/03/2014;9;4;3;17;15;22;74
29/03/2014;19;0;0;4;26;5;86
30/03/2014;23;0;1;13;33;14;66
31/03/2014;24;4;17;32;32;58;59
01/04/2014;19;2;9;31;25;45;65
02/04/2014;24;1;2;33;33;36;58
03/04/2014;6;0;5;25;7;32;59
04/04/2014;2;1;2;12;6;15;80
05/04/2014;3;0;8;21;6;34;65
06/04/2014;6;2;9;24;9;38;60
07/04/2014;12;3;8;26;15;38;63
08/04/2014;24;1;1;13;27;15;71
09/04/2014;15;3;4;23;19;28;72
10/04/2014;17;6;6;29;23;40;60
11/04/2014;19;4;6;26;25;35;68
12/04/2014;21;1;3;19;27;24;72
13/04/2014;14;6;1;23;19;25;74
14/04/2014;14;2;3;26;18;30;67
15/04/2014;19;4;10;36;26;51;70
16/04/2014;16;1;2;14;19;17;91
17/04/2014;13;2;2;16;17;18;85
18/04/2014;18;4;2;24;23;28;71
19/04/2014;11;1;;;20;;82
20/04/2014;9;0;;;15;;79
21/04/2014;7;1;0;11;10;12;68
22/04/2014;5;2;3;22;8;26;58
23/04/2014;11;2;9;40;15;53;57
24/04/2014;14;1;12;28;19;45;65
25/04/2014;3;1;0;21;7;22;82
26/04/2014;3;0;1;14;5;16;67
27/04/2014;6;1;;;11;;76
28/04/2014;10;1;;;16;;66
29/04/2014;7;2;6;5;11;15;57
30/04/2014;9;1;4;20;13;27;61
01/05/2014;6;2;2;17;10;19;65
02/05/2014;5;2;2;20;11;23;62
03/05/2014;5;3;1;24;8;26;70
04/05/2014;6;1;1;10;10;11;81
05/05/2014;11;1;2;15;16;18;78
06/05/2014;11;1;4;21;15;27;73
07/05/2014;13;1;3;19;16;24;73
08/05/2014;11;1;2;15;13;18;81
09/05/2014;19;1;6;25;23;34;64
10/05/2014;11;1;3;22;17;27;70
11/05/2014;10;1;0;7;13;8;78
12/05/2014;9;1;1;12;12;14;72
13/05/2014;8;1;1;13;11;15;72
14/05/2014;7;1;1;10;11;11;70
15/05/2014;7;1;1;10;12;11;70
16/05/2014;7;1;1;8;12;9;94
17/05/2014;8;1;2;11;10;13;91
18/05/2014;7;3;1;15;10;17;84
19/05/2014;9;1;4;26;14;33;83
20/05/2014;13;0;1;15;16;16;87
21/05/2014;10;1;2;20;19;22;85
22/05/2014;3;1;2;13;8;16;76
23/05/2014;5;1;3;24;10;29;69
24/05/2014;7;0;1;9;11;10;80
25/05/2014;8;1;1;10;10;12;83
26/05/2014;9;0;2;16;12;20;72
27/05/2014;7;1;3;17;8;22;70
28/05/2014;8;1;2;20;10;23;71
29/05/2014;5;1;3;18;7;24;64
30/05/2014;7;1;3;18;10;24;65
31/05/2014;6;1;1;14;7;15;65
01/06/2014;6;1;0;12;7;13;74
02/06/2014;9;1;2;15;12;18;82
03/06/2014;12;1;3;21;15;26;86
04/06/2014;16;1;2;18;20;21;90
05/06/2014;10;0;1;9;13;10;77
06/06/2014;13;0;1;11;15;13;72
07/06/2014;18;0;1;11;19;13;77
08/06/2014;17;0;1;6;19;7;89
09/06/2014;18;0;1;8;21;10;76
10/06/2014;15;0;2;12;17;14;69
11/06/2014;11;2;5;22;14;29;66
12/06/2014;11;2;4;40;17;46;66
13/06/2014;14;3;5;40;20;48;71
14/06/2014;14;1;2;25;18;29;75
15/06/2014;8;0;0;9;14;9;97
16/06/2014;;1;1;11;;13;85
17/06/2014;10;1;3;20;16;24;74
18/06/2014;10;1;1;13;14;15;82
19/06/2014;7;1;1;10;10;11;86
20/06/2014;11;2;3;20;14;24;74
21/06/2014;8;1;4;18;12;24;77
22/06/2014;13;1;2;10;17;13;67
23/06/2014;16;1;2;12;19;15;59
24/06/2014;;1;2;27;;30;63
25/06/2014;;1;2;36;;38;56
26/06/2014;;1;9;39;;52;68
27/06/2014;;1;4;24;;30;75
28/06/2014;;1;2;17;;20;72
29/06/2014;;1;1;14;;16;58
30/06/2014;;1;2;12;;16;52
01/07/2014;19;1;5;17;31;24;60
02/07/2014;17;1;3;11;27;15;65
03/07/2014;20;1;3;9;28;13;63
04/07/2014;8;1;4;29;15;34;59
05/07/2014;12;2;3;30;28;35;67
06/07/2014;12;2;2;28;21;31;62
07/07/2014;10;1;2;14;22;17;56
08/07/2014;9;2;5;17;17;24;53
09/07/2014;9;1;4;13;18;19;56
10/07/2014;6;1;2;14;16;17;64
11/07/2014;10;2;5;25;21;33;57
12/07/2014;10;1;3;16;17;19;55
13/07/2014;12;1;3;10;21;14;53
14/07/2014;13;1;4;14;19;20;52
15/07/2014;13;1;3;16;21;20;49
16/07/2014;10;1;3;18;17;22;53
17/07/2014;10;1;5;24;18;32;49
18/07/2014;12;1;2;12;20;15;56
19/07/2014;19;1;3;18;33;21;58
20/07/2014;4;1;1;11;11;13;70
21/07/2014;7;1;3;17;17;22;60
22/07/2014;8;1;6;23;18;32;57
23/07/2014;9;1;5;21;17;28;50
24/07/2014;9;1;2;14;16;18;60
25/07/2014;11;1;1;14;18;16;65
26/07/2014;11;1;1;14;19;15;71
27/07/2014;14;1;1;13;22;14;69
28/07/2014;17;1;3;19;27;23;62
29/07/2014;12;1;1;15;28;17;59
30/07/2014;8;1;4;23;23;29;56
31/07/2014;11;1;5;20;22;28;61
01/08/2014;15;1;2;19;26;22;61
02/08/2014;20;1;1;17;37;18;69
03/08/2014;17;1;;;26;;
04/08/2014;17;1;2;12;27;15;54
05/08/2014;15;1;2;11;24;13;49
06/08/2014;16;1;4;17;26;22;39
07/08/2014;14;1;3;12;22;17;44
08/08/2014;12;1;3;10;19;15;57
09/08/2014;14;1;3;11;23;15;55
10/08/2014;16;1;4;18;29;23;52
11/08/2014;19;1;2;15;28;18;48
12/08/2014;16;1;2;15;27;19;58
13/08/2014;11;1;4;14;29;20;62
14/08/2014;6;2;3;15;21;19;66
15/08/2014;9;1;1;8;20;9;63
16/08/2014;8;2;1;15;16;17;69
17/08/2014;9;1;3;10;19;14;67
18/08/2014;9;1;4;19;16;25;62
